Bedrooms,Bathrooms,City,Zip_Code,Neighborhood,Avg_Rent,Avg_Sqft,Concierge,Lounge,A/C,Smoke Free,Pets Allowed,Pool,Gym,Laundry,Gated,Furnished,Wheelchair Accessible,Carpet,Wood Floor,Plank Floor,Tile Floor
4,2.5,Alameda,94501,West Alameda,4515 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4515 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4515 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4565 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4565 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4615 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4615 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4380 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
4,2.5,Alameda,94501,West Alameda,4615 ,1565.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
3,2.5,Alameda,94501,West Alameda,4380 ,1365.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1
2,2.0,Emeryville,94608,Emeryville,3412,1073.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2,2.0,Emeryville,94608,Emeryville,3369 ,1073.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1.0,Emeryville,94608,Emeryville,2145 ,553.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1.0,Emeryville,94608,Emeryville,2145 ,553.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2,2.0,Emeryville,94608,Emeryville,3299 ,1089.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2,2.0,Emeryville,94608,Emeryville,3299 ,1089.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
3,2.0,Emeryville,94608,Emeryville,3999 ,1340.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
3,2.0,Emeryville,94608,Emeryville,3999 ,1340.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
1,1.0,Emeryville,94608,Emeryville,2571 ,714.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
1,1.0,Emeryville,94608,Emeryville,2571 ,714.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2,2.0,Emeryville,94608,Emeryville,3494 ,1073.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2,2.0,Emeryville,94608,Emeryville,3499 ,1073.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2,2.0,Emeryville,94608,Emeryville,3324 ,1073.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
1,1.0,Emeryville,94608,Emeryville,3102,714.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,1.0,Emeryville,94608,Emeryville,2782,714.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,1.0,Emeryville,94608,Emeryville,3018,714.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,1.0,Emeryville,94608,Emeryville,3426,714.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,3356,1033.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,3263,1033.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,3580,1033.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,3918,1038.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,3810,1039.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,4438,1424.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2,2.0,Emeryville,94608,Emeryville,4188,1424.0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
